!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Wizard*;Acid Splash;0;Conjuration (Creation);Earth;1 action;;;Instantaneous;V, S;Wizard;#!spells/Cantrips/Acid Splash.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Blade Ward;0;Abjuration;Earth;1 action;;;1 round;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Blade Ward.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Booming Blade;0;Evocation;Air;1 action;;;1 round;V, M (a weapon);Warlock, Wizard;#!spells/Cantrips/Booming Blade.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Chill Touch;0;Necromancy (Black);Death;1 action;;;1 round;V, S;Warlock, Wizard;#!spells/Cantrips/Chill Touch.md
no conc,no concentration,no ritual,Druid*,Wizard*;Control Flames;0;Transmutation;Fire;1 action;;;Instantaneous or 1 hour (see below);S;Druid, Wizard;#!spells/Cantrips/Control Flames.md
no ritual,Druid*,Warlock*,Wizard*;Create Bonfire;0;Evocation;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Create Bonfire.md
no ritual,Bard*,Wizard*;Dancing Lights;0;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Warlock (Seeker), Wizard;#!spells/Cantrips/Dancing Lights.md
no conc,no concentration,no ritual,Wizard*;Fire Bolt;0;Evocation;Fire;1 action;;;Instantaneous;V, S;Wizard;#!spells/Cantrips/Fire Bolt.md
no ritual,Bard*,Warlock*,Wizard*;Friends;0;Enchantment (Charm);Darkness;1 action;Concentration;;Concentration, up to 1 minute;S, M (a small amount of makeup applied to the face as this spell is cast);Bard, Warlock, Wizard;#!spells/Cantrips/Friends.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Frostbite;0;Evocation;Water;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Frostbite.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Green-Flame Blade;0;Evocation;Fire;1 action;;;1 round;V, M (a weapon);Warlock, Wizard;#!spells/Cantrips/Green-Flame Blade.md
no conc,no concentration,no ritual,Druid*,Wizard*;Gust;0;Transmutation;Air;1 action;;;Instantaneous;V, S;Druid, Wizard;#!spells/Cantrips/Gust.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Infestation;0;Conjuration (Summoning);Death;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Infestation.md
no conc,no concentration,no ritual,Bard*,Cleric*,Wizard*;Light;0;Evocation;Light;1 action;;;1 hour;V, S;Bard, Cleric, Warlock (Aeonian Flame), Wizard;#!spells/Cantrips/Light.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Lightning Lure;0;Evocation;Air;1 action;;;Instantaneous;V, S;Warlock, Wizard;#!spells/Cantrips/Lightning Lure.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Mage Hand;0;Conjuration (Creation);Aether;1 action;;;1 minute;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Mage Hand.md
no conc,no concentration,no ritual,Wizard*;Magic Bolt;0;Evocation;Aether;1 action;;;Instantaneous;V, S;Warlock (Seeker), Wizard;#!spells/Cantrips/Magic Bolt.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Wizard*;Mending;0;Transmutation;Aether;1 minute;;;Instantaneous / 1 minute;V, S;Bard, Cleric, Druid, Wizard;#!spells/Cantrips/Mending.md
no conc,no concentration,no ritual,Bard*,Wizard*;Message;0;Transmutation;Darkness;1 action;;;1 round;V, S;Bard, Wizard;#!spells/Cantrips/Message.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Minor Illusion;0;Illusion (Figment);Darkness;1 action;;;1 minute;S;Bard, Warlock, Wizard;#!spells/Cantrips/Minor Illusion.md
no conc,no concentration,no ritual,Druid*, Wizard*;Mold Earth;0;Transmutation;Earth;1 action;;;Instantaneous or 1 hour (see below);S;Druid,  Wizard;#!spells/Cantrips/Mold Earth.md
no conc,no concentration,no ritual,Warlock*,Wizard*;On/Off;0;Transmutation;Aether;1 action;;;Instantaneous;S;Warlock, Wizard;#!spells/Cantrips/On-Off.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Poison Spray;0;Conjuration (Creation);Darkness;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Poison Spray.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Prestidigitation;0;Transmutation;Aether;1 action;;;Up to 1 hour;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Prestidigitation.md
no conc,no concentration,no ritual,Wizard*;Ray of Frost;0;Evocation;Water;1 action;;;Instantaneous/1 round;V, S;Warlock (Undying), Warlock (Void), Wizard;#!spells/Cantrips/Ray of Frost.md
no conc,no concentration,no ritual,Druid*,Wizard*;Shape Water;0;Transmutation;Water;1 action;;;Instantaneous or 1 hour (see below);S;Druid, Wizard;#!spells/Cantrips/Shape Water.md
